lat,lon,2020-01-22 00:00:00,Date,Value
36.1408,-5.3536,0,country,"('United Kingdom', 'Gibraltar')"
54.2361,-4.5481,0,country,"('United Kingdom', 'Isle of Man')"
16.7425,-62.1874,0,country,"('United Kingdom', 'Montserrat')"
55.3781,-3.4360000000000004,0,country,"('United Kingdom', 'Total')"
-32.5228,-55.7658,0,country,"('Uruguay', 'Total')"
37.0902,-95.7129,1,country,"('US', 'Total')"
41.3775,64.5853,0,country,"('Uzbekistan', 'Total')"
6.4238,-66.5897,0,country,"('Venezuela', 'Total')"
16.0,108.0,0,country,"('Vietnam', 'Total')"
-15.4167,28.2833,0,country,"('Zambia', 'Total')"
-20.0,30.0,0,country,"('Zimbabwe', 'Total')"
15.415,-61.371,0,country,"('Dominica', 'Total')"
12.1165,-61.679,0,country,"('Grenada', 'Total')"
-18.665695,35.529562,0,country,"('Mozambique', 'Total')"
34.802075,38.99681500000001,0,country,"('Syria', 'Total')"
-8.874217,125.727539,0,country,"('Timor-Leste', 'Total')"
13.1939,-59.5432,0,country,"('Belize', 'Total')"
0.0,0.0,0,country,"('Canada', 'Recovered')"
19.85627,102.495496,0,country,"('Laos', 'Total')"
26.3351,17.228331,0,country,"('Libya', 'Total')"
31.9522,35.2332,0,country,"('West Bank and Gaza', 'Total')"
11.8037,-15.1804,0,country,"('Guinea-Bissau', 'Total')"
17.570692,-3.996166000000001,0,country,"('Mali', 'Total')"
17.357822,-62.782998,0,country,"('Saint Kitts and Nevis', 'Total')"
64.8255,-124.8457,0,country,"('Canada', 'Northwest Territories')"
64.2823,-135.0,0,country,"('Canada', 'Yukon')"
42.602636,20.902977,0,country,"('Kosovo', 'Total')"
33.0,65.0,0,2020-01-23 00:00:00,0
41.1533,20.1683,0,2020-01-23 00:00:00,0
28.0339,1.6596,0,2020-01-23 00:00:00,0
42.5063,1.5218,0,2020-01-23 00:00:00,0
-11.2027,17.8739,0,2020-01-23 00:00:00,0
17.0608,-61.7964,0,2020-01-23 00:00:00,0
-38.4161,-63.6167,0,2020-01-23 00:00:00,0
40.0691,45.0382,0,2020-01-23 00:00:00,0
-35.4735,149.0124,0,2020-01-23 00:00:00,0
-33.8688,151.2093,0,2020-01-23 00:00:00,0
-12.4634,130.8456,0,2020-01-23 00:00:00,0
-28.0167,153.4,0,2020-01-23 00:00:00,0
-34.9285,138.6007,0,2020-01-23 00:00:00,0
-41.4545,145.9707,0,2020-01-23 00:00:00,0
-37.8136,144.9631,0,2020-01-23 00:00:00,0
-31.9505,115.8605,0,2020-01-23 00:00:00,0
47.5162,14.5501,0,2020-01-23 00:00:00,0
40.1431,47.5769,0,2020-01-23 00:00:00,0
25.0343,-77.3963,0,2020-01-23 00:00:00,0
26.0275,50.55,0,2020-01-23 00:00:00,0
23.685,90.3563,0,2020-01-23 00:00:00,0
13.1939,-59.5432,0,2020-01-23 00:00:00,0
53.7098,27.9534,0,2020-01-23 00:00:00,0
50.8333,4.0,0,2020-01-23 00:00:00,0
9.3077,2.3158,0,2020-01-23 00:00:00,0
27.5142,90.4336,0,2020-01-23 00:00:00,0
-16.2902,-63.5887,0,2020-01-23 00:00:00,0
43.9159,17.6791,0,2020-01-23 00:00:00,0
-14.235,-51.9253,0,2020-01-23 00:00:00,0
4.5353,114.7277,0,2020-01-23 00:00:00,0
42.7339,25.4858,0,2020-01-23 00:00:00,0
12.2383,-1.5616,0,2020-01-23 00:00:00,0
16.5388,-23.0418,0,2020-01-23 00:00:00,0
11.55,104.9167,0,2020-01-23 00:00:00,0
3.848,11.5021,0,2020-01-23 00:00:00,0
53.9333,-116.5765,0,2020-01-23 00:00:00,0
49.2827,-123.1207,0,2020-01-23 00:00:00,0
53.7609,-98.8139,0,2020-01-23 00:00:00,0
46.5653,-66.4619,0,2020-01-23 00:00:00,0
53.1355,-57.6604,0,2020-01-23 00:00:00,0
44.682,-63.7443,0,2020-01-23 00:00:00,0
51.2538,-85.3232,0,2020-01-23 00:00:00,0
46.5107,-63.4168,0,2020-01-23 00:00:00,0
52.9399,-73.5491,0,2020-01-23 00:00:00,0
52.9399,-106.4509,0,2020-01-23 00:00:00,0
6.6111,20.9394,0,2020-01-23 00:00:00,0
15.4542,18.7322,0,2020-01-23 00:00:00,0
-35.6751,-71.543,0,2020-01-23 00:00:00,0
31.8257,117.2264,1,2020-01-23 00:00:00,9
40.1824,116.4142,14,2020-01-23 00:00:00,22
30.0572,107.874,6,2020-01-23 00:00:00,9
26.0789,117.9874,1,2020-01-23 00:00:00,5
37.8099,101.0583,0,2020-01-23 00:00:00,2
23.3417,113.4244,26,2020-01-23 00:00:00,32
23.8298,108.7881,2,2020-01-23 00:00:00,5
26.8154,106.8748,1,2020-01-23 00:00:00,3
19.1959,109.7453,4,2020-01-23 00:00:00,5
39.549,116.1306,1,2020-01-23 00:00:00,1
47.862,127.7615,0,2020-01-23 00:00:00,2
33.882,113.614,5,2020-01-23 00:00:00,5
22.3,114.2,0,2020-01-23 00:00:00,2
30.9756,112.2707,444,2020-01-23 00:00:00,444
27.6104,111.7088,4,2020-01-23 00:00:00,9
44.0935,113.9448,0,2020-01-23 00:00:00,0
32.9711,119.455,1,2020-01-23 00:00:00,5
27.614,115.7221,2,2020-01-23 00:00:00,7
43.6661,126.1923,0,2020-01-23 00:00:00,1
41.2956,122.6085,2,2020-01-23 00:00:00,3
22.1667,113.55,1,2020-01-23 00:00:00,2
37.2692,106.1655,1,2020-01-23 00:00:00,1
35.7452,95.9956,0,2020-01-23 00:00:00,0
35.1917,108.8701,0,2020-01-23 00:00:00,3
36.3427,118.1498,2,2020-01-23 00:00:00,6
31.202,121.4491,9,2020-01-23 00:00:00,16
37.5777,112.2922,1,2020-01-23 00:00:00,1
30.6171,102.7103,5,2020-01-23 00:00:00,8
39.3054,117.323,4,2020-01-23 00:00:00,4
31.6927,88.0924,0,2020-01-23 00:00:00,0
41.1129,85.2401,0,2020-01-23 00:00:00,2
24.974,101.487,1,2020-01-23 00:00:00,2
29.1832,120.0934,10,2020-01-23 00:00:00,27
4.5709,-74.2973,0,2020-01-23 00:00:00,0
-4.0383,21.7587,0,2020-01-23 00:00:00,0
-4.0383,21.7587,0,2020-01-23 00:00:00,0
9.7489,-83.7534,0,2020-01-23 00:00:00,0
7.54,-5.5471,0,2020-01-23 00:00:00,0
45.1,15.2,0,2020-01-23 00:00:00,0
0.0,0.0,0,2020-01-23 00:00:00,0
22.0,-80.0,0,2020-01-23 00:00:00,0
35.1264,33.4299,0,2020-01-23 00:00:00,0
49.8175,15.473,0,2020-01-23 00:00:00,0
61.8926,-6.9118,0,2020-01-23 00:00:00,0
71.7069,-42.6043,0,2020-01-23 00:00:00,0
56.2639,9.5018,0,2020-01-23 00:00:00,0
11.8251,42.5903,0,2020-01-23 00:00:00,0
18.7357,-70.1627,0,2020-01-23 00:00:00,0
-1.8312,-78.1834,0,2020-01-23 00:00:00,0
26.0,30.0,0,2020-01-23 00:00:00,0
13.7942,-88.8965,0,2020-01-23 00:00:00,0
1.5,10.0,0,2020-01-23 00:00:00,0
15.1794,39.7823,0,2020-01-23 00:00:00,0
58.5953,25.0136,0,2020-01-23 00:00:00,0
-26.5225,31.4659,0,2020-01-23 00:00:00,0
9.145,40.4897,0,2020-01-23 00:00:00,0
-17.7134,178.065,0,2020-01-23 00:00:00,0
64.0,26.0,0,2020-01-23 00:00:00,0
3.9339,-53.1258,0,2020-01-23 00:00:00,0
-17.6797,149.4068,0,2020-01-23 00:00:00,0
16.25,-61.5833,0,2020-01-23 00:00:00,0
-12.8275,45.1662,0,2020-01-23 00:00:00,0
-20.9043,165.618,0,2020-01-23 00:00:00,0
-21.1351,55.2471,0,2020-01-23 00:00:00,0
17.9,-62.8333,0,2020-01-23 00:00:00,0
18.0708,-63.0501,0,2020-01-23 00:00:00,0
14.6415,-61.0242,0,2020-01-23 00:00:00,0
46.2276,2.2137,0,2020-01-23 00:00:00,0
-0.8037,11.6094,0,2020-01-23 00:00:00,0
13.4432,-15.3101,0,2020-01-23 00:00:00,0
42.3154,43.3569,0,2020-01-23 00:00:00,0
51.0,9.0,0,2020-01-23 00:00:00,0
7.9465,-1.0232,0,2020-01-23 00:00:00,0
