id,lat,lon,Date,Value
"Bennington, Vermont, US",43.03519828,-73.09048868,2020-04-01,18.0
"Benton, Arkansas, US",36.33644656,-94.25680817,2020-04-01,39.0
"Benton, Indiana, US",40.60626947,-87.31093999,2020-04-01,1.0
"Benton, Iowa, US",42.08011739,-92.06463573,2020-04-01,7.0
"Benton, Minnesota, US",45.69804958,-93.99514135,2020-04-01,1.0
"Benton, Mississippi, US",34.81681228,-89.18945516,2020-04-01,4.0
"Benton, Missouri, US",38.29503305,-93.28756116,2020-04-01,3.0
"Benton, Oregon, US",44.49167306,-123.4316987,2020-04-01,13.0
"Benton, Tennessee, US",36.07110411,-88.06849355,2020-04-01,4.0
"Benton, Washington, US",46.23946995,-119.5120834,2020-04-01,108.0
"Bergen, New Jersey, US",40.96010917,-74.07164325,2020-04-01,3494.0
"Berkeley, South Carolina, US",33.20222596,-79.94654523,2020-04-01,18.0
"Berkeley, West Virginia, US",39.46704621,-78.02414609,2020-04-01,21.0
"Berks, Pennsylvania, US",40.41570541,-75.92457766,2020-04-01,151.0
"Berkshire, Massachusetts, US",42.37428441,-73.20524838,2020-04-01,183.0
"Bernalillo, New Mexico, US",35.05163625,-106.6703554,2020-04-01,129.0
"Berrien, Georgia, US",31.27590016,-83.22529920000002,2020-04-01,2.0
"Berrien, Michigan, US",41.95447397,-86.41313079999998,2020-04-01,38.0
"Bertie, North Carolina, US",36.0688473,-76.96545943,2020-04-01,6.0
"Bexar, Texas, US",29.44928723,-98.52019748,2020-04-01,207.0
"Bibb, Alabama, US",32.99642064,-87.12511459999996,2020-04-01,3.0
"Bibb, Georgia, US",32.80904227,-83.70489165,2020-04-01,22.0
"Bienville, Louisiana, US",32.34569994,-93.05398492,2020-04-01,6.0
"Big Stone, Minnesota, US",45.42712824,-96.41403739,2020-04-01,1.0
"Bingham, Idaho, US",43.21672879999999,-112.3978437,2020-04-01,2.0
"Black Hawk, Iowa, US",42.4704581,-92.30524729,2020-04-01,7.0
"Blaine, Idaho, US",43.4085812,-113.9752658,2020-04-01,228.0
"Blair, Pennsylvania, US",40.47961444,-78.34917412,2020-04-01,4.0
"Blanco, Texas, US",30.26640707,-98.3999852,2020-04-01,1.0
"Bleckley, Georgia, US",32.43829035,-83.33035166,2020-04-01,1.0
"Bledsoe, Tennessee, US",35.59942968,-85.20611967,2020-04-01,2.0
"Blount, Alabama, US",33.98210918,-86.56790593,2020-04-01,5.0
"Blount, Tennessee, US",35.68938198,-83.92847788,2020-04-01,28.0
"Blue Earth, Minnesota, US",44.03554215,-94.06699781,2020-04-01,9.0
"Bolivar, Mississippi, US",33.79696941,-90.87372121,2020-04-01,25.0
"Bollinger, Missouri, US",37.32449052,-90.02725304,2020-04-01,1.0
"Bon Homme, South Dakota, US",42.98914167,-97.88592746,2020-04-01,1.0
"Bond, Illinois, US",38.88829622,-89.43534887,2020-04-01,2.0
"Bonner, Idaho, US",48.29996017,-116.6017932,2020-04-01,1.0
"Bonneville, Idaho, US",43.38713372,-111.6161537,2020-04-01,2.0
"Boone, Arkansas, US",36.3084504,-93.09374925,2020-04-01,1.0
"Boone, Indiana, US",40.0509304,-86.46841646,2020-04-01,29.0
"Boone, Iowa, US",42.03657094,-93.9313999,2020-04-01,1.0
"Boone, Kentucky, US",38.97065142,-84.72615357,2020-04-01,8.0
"Boone, Missouri, US",38.99186229,-92.30723575,2020-04-01,66.0
"Bossier, Louisiana, US",32.67932307,-93.60460152,2020-04-01,75.0
"Botetourt, Virginia, US",37.55531756,-79.80982182,2020-04-01,6.0
"Boulder, Colorado, US",40.09313619,-105.3546767,2020-04-01,107.0
"Bourbon, Kansas, US",37.85508555,-94.84865997,2020-04-01,3.0
"Bourbon, Kentucky, US",38.2054607,-84.21827874,2020-04-01,2.0
"Bowie, Texas, US",33.44626922,-94.41834132,2020-04-01,9.0
"Box Elder, Utah, US",41.52106798,-113.0832816,2020-04-01,7.0
"Boyd, Kentucky, US",38.36176608,-82.68652187,2020-04-01,4.0
"Boyle, Kentucky, US",37.62680923,-84.8633779,2020-04-01,4.0
"Bracken, Kentucky, US",38.69158994,-84.08532444,2020-04-01,1.0
"Bradford, Florida, US",29.95079741,-82.16611613,2020-04-01,3.0
"Bradford, Pennsylvania, US",41.78869215,-76.51570822,2020-04-01,8.0
"Bradley, Arkansas, US",33.46755808,-92.15980837,2020-04-01,4.0
"Bradley, Tennessee, US",35.15739424,-84.857186,2020-04-01,14.0
"Branch, Michigan, US",41.91600556,-85.05929476,2020-04-01,2.0
"Brazoria, Texas, US",29.18757369,-95.44563172,2020-04-01,95.0
"Brazos, Texas, US",30.663644800000004,-96.30205577,2020-04-01,63.0
"Breathitt, Kentucky, US",37.52333168,-83.31959161,2020-04-01,2.0
"Breckinridge, Kentucky, US",37.77377239,-86.42885017,2020-04-01,2.0
"Brevard, Florida, US",28.29409504,-80.73091022,2020-04-01,38.0
"Bristol, Massachusetts, US",41.79228404,-71.10872211,2020-04-01,366.0
"Bristol, Rhode Island, US",41.71018079,-71.28652315,2020-04-01,18.0
"Bristol, Virginia, US",36.6163024,-82.16359122,2020-04-01,1.0
"Broadwater, Montana, US",46.33277565,-111.4955813,2020-04-01,3.0
"Brookings, South Dakota, US",44.36974375,-96.79079945,2020-04-01,2.0
"Brooks, Georgia, US",30.83922642,-83.58303423,2020-04-01,2.0
"Broome, New York, US",42.15903158,-75.81326086,2020-04-01,42.0
"Broomfield, Colorado, US",39.95998787,-105.0566324,2020-04-01,20.0
"Broward, Florida, US",26.15184651,-80.48725556,2020-04-01,1232.0
"Brown, Indiana, US",39.19605589,-86.22868909,2020-04-01,3.0
"Brown, Minnesota, US",44.24205652,-94.72562874,2020-04-01,2.0
"Brown, Ohio, US",38.93416837,-83.86788395,2020-04-01,2.0
"Brown, South Dakota, US",45.58994323,-98.35165355,2020-04-01,4.0
"Brown, Texas, US",31.77430356,-98.99907113,2020-04-01,3.0
"Brown, Wisconsin, US",44.4526553,-88.00411844,2020-04-01,11.0
"Brunswick, North Carolina, US",34.070565,-78.22814204,2020-04-01,16.0
"Brunswick, Virginia, US",36.76366949,-77.8593436,2020-04-01,1.0
"Bryan, Georgia, US",32.00979311,-81.44002948,2020-04-01,8.0
"Bryan, Oklahoma, US",33.96472458,-96.25903472,2020-04-01,1.0
"Buchanan, Iowa, US",42.4709188,-91.83510825,2020-04-01,2.0
"Buchanan, Missouri, US",39.65816401,-94.80138942,2020-04-01,5.0
"Buckingham, Virginia, US",37.57242268,-78.52518834,2020-04-01,2.0
"Bucks, Pennsylvania, US",40.33682119,-75.10836643,2020-04-01,319.0
"Buffalo, Nebraska, US",40.85486962,-99.07500296,2020-04-01,7.0
"Buffalo, Wisconsin, US",44.37835084,-91.75332578,2020-04-01,1.0
"Bullitt, Kentucky, US",37.97162523,-85.68955617,2020-04-01,6.0
"Bulloch, Georgia, US",32.39577406,-81.74811421,2020-04-01,2.0
"Bullock, Alabama, US",32.10030533,-85.71265535,2020-04-01,3.0
"Buncombe, North Carolina, US",35.61113393,-82.53305,2020-04-01,22.0
"Bureau, Illinois, US",41.40385234,-89.5283051,2020-04-01,2.0
"Burke, Georgia, US",33.05917989,-81.99928721,2020-04-01,8.0
"Burke, North Carolina, US",35.74989637,-81.70755735,2020-04-01,6.0
"Burke, North Dakota, US",48.79094471,-102.5182117,2020-04-01,2.0
"Burleigh, North Dakota, US",46.97847375,-100.4645214,2020-04-01,32.0
"Burleson, Texas, US",30.49273808,-96.62158484,2020-04-01,1.0
"Burlington, New Jersey, US",39.87681124,-74.66927768,2020-04-01,255.0
"Burnet, Texas, US",30.78801353,-98.181887,2020-04-01,3.0
"Butler, Alabama, US",31.75300095,-86.68057478,2020-04-01,1.0
"Butler, Iowa, US",42.73172833,-92.79015971,2020-04-01,1.0
"Butler, Kansas, US",37.78134351,-96.83878537,2020-04-01,5.0
"Butler, Kentucky, US",37.20946153,-86.68748787,2020-04-01,1.0
"Butler, Missouri, US",36.71462476,-90.40421163,2020-04-01,1.0
"Butler, Ohio, US",39.44012838,-84.57388716,2020-04-01,41.0
"Butler, Pennsylvania, US",40.91152759,-79.91351055,2020-04-01,64.0
"Butte, California, US",39.66727762,-121.6005252,2020-04-01,8.0
"Butte, South Dakota, US",44.90608745,-103.5079318,2020-04-01,0.0
"Butts, Georgia, US",33.283094500000004,-83.95435040000002,2020-04-01,8.0
"Cabarrus, North Carolina, US",35.3877799,-80.55267168,2020-04-01,47.0
"Cabell, West Virginia, US",38.42424062,-82.23855912,2020-04-01,1.0
"Cache, Utah, US",41.72330587,-111.7443667,2020-04-01,7.0
"Caddo, Louisiana, US",32.57991587,-93.88375652,2020-04-01,298.0
"Caddo, Oklahoma, US",35.17364557,-98.37534464,2020-04-01,1.0
"Calaveras, California, US",38.20537103,-120.552913,2020-04-01,3.0
"Calcasieu, Louisiana, US",30.22931235,-93.35400434,2020-04-01,90.0
"Caldwell, Missouri, US",39.65620858,-93.98308093,2020-04-01,1.0
"Caldwell, North Carolina, US",35.95204977,-81.54799522,2020-04-01,3.0
"Caldwell, Texas, US",29.83668859,-97.61814775,2020-04-01,1.0
"Caledonia, Vermont, US",44.46548598,-72.10314651,2020-04-01,3.0
"Calhoun, Alabama, US",33.77483727,-85.82630386,2020-04-01,11.0
"Calhoun, Florida, US",30.40666734,-85.19394153,2020-04-01,1.0
"Calhoun, Georgia, US",31.53169785,-84.62725131,2020-04-01,10.0
"Calhoun, Michigan, US",42.24633834,-85.00493569,2020-04-01,23.0
"Calhoun, Mississippi, US",33.93683395,-89.33686647,2020-04-01,3.0
"Calhoun, South Carolina, US",33.66926881,-80.77722168,2020-04-01,3.0
"Calhoun, Texas, US",28.47048236,-96.61633945,2020-04-01,7.0
"Callaway, Missouri, US",38.83674754,-91.92186505,2020-04-01,17.0
"Calloway, Kentucky, US",36.62093411,-88.2731593,2020-04-01,3.0
"Calumet, Wisconsin, US",44.0816316,-88.21780273,2020-04-01,2.0
"Calvert, Maryland, US",38.53961642,-76.56820632,2020-04-01,18.0
"Camas, Idaho, US",43.46665742,-114.8065892,2020-04-01,1.0
"Cambria, Pennsylvania, US",40.49527404,-78.71377428,2020-04-01,3.0
"Camden, Georgia, US",30.92951916,-81.66601818,2020-04-01,4.0
"Camden, Missouri, US",38.02199522,-92.76083747,2020-04-01,17.0
"Camden, New Jersey, US",39.80343818,-74.96388753,2020-04-01,289.0
"Cameron, Pennsylvania, US",41.43625568,-78.20376845,2020-04-01,1.0
"Cameron, Texas, US",26.14524221,-97.48140372,2020-04-01,26.0
"Camp, Texas, US",32.97195142,-94.97790104,2020-04-01,1.0
"Campbell, Kentucky, US",38.94384345,-84.37875208,2020-04-01,8.0
"Campbell, Tennessee, US",36.40355516,-84.15108559999999,2020-04-01,4.0
"Campbell, Virginia, US",37.20553386,-79.09678609,2020-04-01,2.0
"Campbell, Wyoming, US",44.24886082,-105.5474404,2020-04-01,4.0
"Canadian, Oklahoma, US",35.5426055,-97.98465569,2020-04-01,24.0
"Candler, Georgia, US",32.40209349,-82.07702563,2020-04-01,1.0
"Cannon, Tennessee, US",35.80990797,-86.05738983,2020-04-01,3.0
"Canyon, Idaho, US",43.61970148,-116.7095499,2020-04-01,53.0
"Cape Girardeau, Missouri, US",37.38489388,-89.6843587,2020-04-01,15.0
"Cape May, New Jersey, US",39.15008829,-74.80170244,2020-04-01,22.0
"Carbon, Pennsylvania, US",40.91545395,-75.7068525,2020-04-01,23.0
"Carbon, Wyoming, US",41.69357844,-106.9326084,2020-04-01,3.0
"Carlton, Minnesota, US",46.59180601,-92.67601019,2020-04-01,2.0
"Caroline, Maryland, US",38.87172293,-75.82904158,2020-04-01,4.0
"Carroll, Georgia, US",33.58138199,-85.07976677,2020-04-01,131.0
"Carroll, Illinois, US",42.06823429,-89.93395545,2020-04-01,3.0
"Carroll, Indiana, US",40.580783200000006,-86.56198812,2020-04-01,2.0
"Carroll, Iowa, US",42.03617207,-94.86032705,2020-04-01,1.0
"Carroll, Kentucky, US",38.66599534,-85.12601074,2020-04-01,2.0
"Carroll, Maryland, US",39.56453592,-77.02373735,2020-04-01,96.0
"Carroll, Mississippi, US",33.44834567,-89.91994479,2020-04-01,2.0
"Carroll, New Hampshire, US",43.87498583,-71.20430216,2020-04-01,12.0
"Carroll, Ohio, US",40.5789686,-81.09178213,2020-04-01,5.0
"Carroll, Tennessee, US",35.97366108,-88.45189331,2020-04-01,5.0
"Carroll, Virginia, US",36.73066666,-80.73455942,2020-04-01,1.0
"Carson City, Nevada, US",39.15509045,-119.7480219,2020-04-01,5.0
"Carter, Missouri, US",36.94160441,-90.96051322,2020-04-01,4.0
"Carter, Oklahoma, US",34.25103751,-97.28552485,2020-04-01,1.0
"Carter, Tennessee, US",36.28969086,-82.12588974,2020-04-01,1.0
"Carteret, North Carolina, US",34.8932941,-76.54120135,2020-04-01,14.0
"Carver, Minnesota, US",44.82017001,-93.8009918,2020-04-01,10.0
"Cascade, Montana, US",47.30797024,-111.3467922,2020-04-01,9.0
"Cass, Indiana, US",40.76135835,-86.34830753,2020-04-01,1.0
