id,lat,lon,Date,Value
"Bleckley, Georgia",32.43829035,-83.33035166,2020-04-01,1.0
"Bledsoe, Tennessee",35.59942968,-85.20611967,2020-04-01,2.0
"Blount, Alabama",33.98210918,-86.56790593,2020-04-01,5.0
"Blount, Tennessee",35.68938198,-83.92847788,2020-04-01,28.0
"Blue Earth, Minnesota",44.03554215,-94.06699781,2020-04-01,9.0
"Bolivar, Mississippi",33.79696941,-90.87372121,2020-04-01,25.0
"Bollinger, Missouri",37.32449052,-90.02725304,2020-04-01,1.0
"Bon Homme, South Dakota",42.98914167,-97.88592746,2020-04-01,1.0
"Bond, Illinois",38.88829622,-89.43534887,2020-04-01,2.0
"Bonner, Idaho",48.29996017,-116.6017932,2020-04-01,1.0
"Bonneville, Idaho",43.38713372,-111.6161537,2020-04-01,2.0
"Boone, Arkansas",36.3084504,-93.09374925,2020-04-01,1.0
"Boone, Indiana",40.0509304,-86.46841646,2020-04-01,29.0
"Boone, Iowa",42.03657094,-93.9313999,2020-04-01,1.0
"Boone, Kentucky",38.97065142,-84.72615357,2020-04-01,8.0
"Boone, Missouri",38.99186229,-92.30723575,2020-04-01,66.0
"Bossier, Louisiana",32.67932307,-93.60460152,2020-04-01,75.0
"Botetourt, Virginia",37.55531756,-79.80982182,2020-04-01,6.0
"Boulder, Colorado",40.09313619,-105.3546767,2020-04-01,107.0
"Bourbon, Kansas",37.85508555,-94.84865997,2020-04-01,3.0
"Bourbon, Kentucky",38.2054607,-84.21827874,2020-04-01,2.0
"Bowie, Texas",33.44626922,-94.41834132,2020-04-01,9.0
"Box Elder, Utah",41.52106798,-113.0832816,2020-04-01,7.0
"Boyd, Kentucky",38.36176608,-82.68652187,2020-04-01,4.0
"Boyle, Kentucky",37.62680923,-84.8633779,2020-04-01,4.0
"Bracken, Kentucky",38.69158994,-84.08532444,2020-04-01,1.0
"Bradford, Florida",29.95079741,-82.16611613,2020-04-01,3.0
"Bradford, Pennsylvania",41.78869215,-76.51570822,2020-04-01,8.0
"Bradley, Arkansas",33.46755808,-92.15980837,2020-04-01,4.0
"Bradley, Tennessee",35.15739424,-84.857186,2020-04-01,14.0
"Branch, Michigan",41.91600556,-85.05929476,2020-04-01,2.0
"Brazoria, Texas",29.18757369,-95.44563172,2020-04-01,95.0
"Brazos, Texas",30.663644800000004,-96.30205577,2020-04-01,63.0
"Breathitt, Kentucky",37.52333168,-83.31959161,2020-04-01,2.0
"Breckinridge, Kentucky",37.77377239,-86.42885017,2020-04-01,2.0
"Brevard, Florida",28.29409504,-80.73091022,2020-04-01,38.0
"Bristol, Massachusetts",41.79228404,-71.10872211,2020-04-01,366.0
"Bristol, Rhode Island",41.71018079,-71.28652315,2020-04-01,18.0
"Bristol, Virginia",36.6163024,-82.16359122,2020-04-01,1.0
"Broadwater, Montana",46.33277565,-111.4955813,2020-04-01,3.0
"Brookings, South Dakota",44.36974375,-96.79079945,2020-04-01,2.0
"Brooks, Georgia",30.83922642,-83.58303423,2020-04-01,2.0
"Broome, New York",42.15903158,-75.81326086,2020-04-01,42.0
"Broomfield, Colorado",39.95998787,-105.0566324,2020-04-01,20.0
"Broward, Florida",26.15184651,-80.48725556,2020-04-01,1232.0
"Brown, Indiana",39.19605589,-86.22868909,2020-04-01,3.0
"Brown, Minnesota",44.24205652,-94.72562874,2020-04-01,2.0
"Brown, Ohio",38.93416837,-83.86788395,2020-04-01,2.0
"Brown, South Dakota",45.58994323,-98.35165355,2020-04-01,4.0
"Brown, Texas",31.77430356,-98.99907113,2020-04-01,3.0
"Brown, Wisconsin",44.4526553,-88.00411844,2020-04-01,11.0
"Brunswick, North Carolina",34.070565,-78.22814204,2020-04-01,16.0
"Brunswick, Virginia",36.76366949,-77.8593436,2020-04-01,1.0
"Bryan, Georgia",32.00979311,-81.44002948,2020-04-01,8.0
"Bryan, Oklahoma",33.96472458,-96.25903472,2020-04-01,1.0
"Buchanan, Iowa",42.4709188,-91.83510825,2020-04-01,2.0
"Buchanan, Missouri",39.65816401,-94.80138942,2020-04-01,5.0
"Buckingham, Virginia",37.57242268,-78.52518834,2020-04-01,2.0
"Bucks, Pennsylvania",40.33682119,-75.10836643,2020-04-01,319.0
"Buffalo, Nebraska",40.85486962,-99.07500296,2020-04-01,7.0
"Buffalo, Wisconsin",44.37835084,-91.75332578,2020-04-01,1.0
"Bullitt, Kentucky",37.97162523,-85.68955617,2020-04-01,6.0
"Bulloch, Georgia",32.39577406,-81.74811421,2020-04-01,2.0
"Bullock, Alabama",32.10030533,-85.71265535,2020-04-01,3.0
"Buncombe, North Carolina",35.61113393,-82.53305,2020-04-01,22.0
"Bureau, Illinois",41.40385234,-89.5283051,2020-04-01,2.0
"Burke, Georgia",33.05917989,-81.99928721,2020-04-01,8.0
"Burke, North Carolina",35.74989637,-81.70755735,2020-04-01,6.0
"Burke, North Dakota",48.79094471,-102.5182117,2020-04-01,2.0
"Burleigh, North Dakota",46.97847375,-100.4645214,2020-04-01,32.0
"Burleson, Texas",30.49273808,-96.62158484,2020-04-01,1.0
"Burlington, New Jersey",39.87681124,-74.66927768,2020-04-01,255.0
